アイテム,識別子,ラベル,地域,緯度,経度
https://mediaarts-db.bunka.go.jp/id/C46722,C46722,カレイドスコープ,東京都杉並区高円寺南1-17-8,,
https://mediaarts-db.bunka.go.jp/id/C46728,C46728,メディアヴィジョン,東京都千代田区二番町4-相互二番町ビルディング5F,,
https://mediaarts-db.bunka.go.jp/id/C46733,C46733,Schmidt Spiele,"Berlin, Germany",,
https://mediaarts-db.bunka.go.jp/id/C46731,C46731,スペースプロジェクト,東京都中央区築地3丁目9番9号 ラウンドクロス築地ビル7階,,
https://mediaarts-db.bunka.go.jp/id/C46734,C46734,セブンエイト,東京都豊島区池袋3-3-5要町マンション702,,
https://mediaarts-db.bunka.go.jp/id/C46732,C46732,Avalon Hill Games Inc.,"Baltimore, MD, USA",,
https://mediaarts-db.bunka.go.jp/id/C46739,C46739,Cinematronics,"El Cajon, California",,
https://mediaarts-db.bunka.go.jp/id/C46741,C46741,応研株式会社,福岡市中央区天神4丁目2-34応研ビル,,
https://mediaarts-db.bunka.go.jp/id/C46718,C46718,Ashby Computers & Graphics Ltd.,"Ashby-de-la-Zouch, Leicestershire, United Kingdom",,
https://mediaarts-db.bunka.go.jp/id/C46695,C46695,VIRGIN GAMES,"Portobello Road, London, UK",,
https://mediaarts-db.bunka.go.jp/id/C46697,C46697,ビベンディ ユニバーサル ゲームズ,"Torrance, California, U.S.",,
https://mediaarts-db.bunka.go.jp/id/C46696,C46696,フェザード,東京都新宿区西新宿4-14-7新宿パークサイド永谷804,,
https://mediaarts-db.bunka.go.jp/id/C46699,C46699,ピオーネソフト,東京都千代田区外神田2-4-4,,
https://mediaarts-db.bunka.go.jp/id/C46700,C46700,ピーディ,大阪府大阪市北区西天満5-6-12 GRACE・I　5F/6F,,
https://mediaarts-db.bunka.go.jp/id/C46704,C46704,ヌーサイト,東京都港区赤坂 1-3-3 T-FRONTビル5F,,
https://mediaarts-db.bunka.go.jp/id/C46703,C46703,バイス,札幌市中央区北4条西5丁目,,
https://mediaarts-db.bunka.go.jp/id/C46698,C46698,ビジョン,奈良県大和郡山市筒井町463-1-8,,
https://mediaarts-db.bunka.go.jp/id/C46692,C46692,IRIコマース&テクノロジー,東京都新宿区西新宿二丁目6番1号,,
https://mediaarts-db.bunka.go.jp/id/C46688,C46688,アロアロインターナショナル,東京都渋谷区本町4-20-10,,
